name	mod	context	context_source	default	live	english	russian
pneumaticcraft.armor.upgrade.jet_boots.module.smart_hover	pneumaticcraft	UNIVERSAL	assumed	key.keyboard.unknown	key.keyboard.unknown	Smart Hover	Умное парение
pneumaticcraft.armor.upgrade.jump_boost	pneumaticcraft	UNIVERSAL	assumed	key.keyboard.unknown	key.keyboard.unknown	Jump Boost	Усилитель прыжка
pneumaticcraft.armor.upgrade.magnet	pneumaticcraft	UNIVERSAL	assumed	key.keyboard.unknown	key.keyboard.unknown	Magnet	Притяжение
pneumaticcraft.armor.upgrade.night_vision	pneumaticcraft	UNIVERSAL	assumed	key.keyboard.unknown	key.keyboard.unknown	Night Vision	Ночное зрение
pneumaticcraft.armor.upgrade.reach_distance	pneumaticcraft	UNIVERSAL	assumed	key.keyboard.unknown	key.keyboard.unknown	Reach Boost	Достигнуто усилений
pneumaticcraft.armor.upgrade.run_speed	pneumaticcraft	UNIVERSAL	assumed	key.keyboard.unknown	key.keyboard.unknown	Run Speed	Скорость бега
pneumaticcraft.armor.upgrade.scuba	pneumaticcraft	UNIVERSAL	assumed	key.keyboard.unknown	key.keyboard.unknown	SCUBA	Акваланг
pneumaticcraft.armor.upgrade.search	pneumaticcraft	UNIVERSAL	assumed	key.keyboard.unknown	key.keyboard.unknown	Item Search	Поиск предметов
pneumaticcraft.armor.upgrade.step_assist	pneumaticcraft	UNIVERSAL	assumed	key.keyboard.unknown	key.keyboard.unknown	Step Assist	Помощник шага
pneumaticcraft.armor.upgrade.stomp	pneumaticcraft	UNIVERSAL	assumed	key.keyboard.unknown	key.keyboard.unknown	Stomp	Поступь
pneumaticcraft.boots.jet_boots	pneumaticcraft	IN_GAME	bytecode	key.keyboard.space	key.keyboard.space	Pneumatic Jet Boots Thrust	Тяга рактивных ботинок
pneumaticcraft.boots.kick	pneumaticcraft	IN_GAME	bytecode	key.keyboard.x:CONTROL	key.keyboard.x:CONTROL	Pneumatic Boots Kick	Пневмоудар ботинками
pneumaticcraft.chestplate.launcher	pneumaticcraft	IN_GAME	bytecode	key.keyboard.c:CONTROL	key.keyboard.c:CONTROL	Pneumatic Chestplate Launcher	Пусковая установка Пневмоброни
pneumaticcraft.helmet.debugging.drone	pneumaticcraft	IN_GAME	bytecode	key.keyboard.y	key.keyboard.y	Pneumatic Helmet Drone Debugging	Отладка дронов с Пневмошлемом
pneumaticcraft.helmet.hack	pneumaticcraft	IN_GAME	bytecode	key.keyboard.h	key.keyboard.h	Pneumatic Helmet Hacking	Хакерство с Пневмошлемом
psimisc.keybind	psi	UNIVERSAL	assumed	key.keyboard.unknown	key.keyboard.unknown	Psi Master Keybind	Основная клавиша Psi
quark.emote.cheer	quark	UNIVERSAL	assumed	key.keyboard.unknown	key.keyboard.unknown	Cheer	Ликовать
quark.emote.clap	quark	UNIVERSAL	assumed	key.keyboard.unknown	key.keyboard.unknown	Clap	Хлопать
quark.emote.facepalm	quark	UNIVERSAL	assumed	key.keyboard.unknown	key.keyboard.unknown	Facepalm	Фейспалмить
quark.emote.headbang	quark	UNIVERSAL	assumed	key.keyboard.unknown	key.keyboard.unknown	Headbang	Слэмить
quark.emote.no	quark	UNIVERSAL	assumed	key.keyboard.unknown	key.keyboard.unknown	No	Нет
quark.emote.point	quark	UNIVERSAL	assumed	key.keyboard.unknown	key.keyboard.unknown	Point	Указать
quark.emote.salute	quark	UNIVERSAL	assumed	key.keyboard.unknown	key.keyboard.unknown	Salute	Салютовать
quark.emote.shrug	quark	UNIVERSAL	assumed	key.keyboard.unknown	key.keyboard.unknown	Shrug	Пожать плечами
quark.emote.think	quark	UNIVERSAL	assumed	key.keyboard.unknown	key.keyboard.unknown	Think	Думать
quark.emote.wave	quark	UNIVERSAL	assumed	key.keyboard.unknown	key.keyboard.unknown	Wave	Волна
quark.emote.weep	quark	UNIVERSAL	assumed	key.keyboard.unknown	key.keyboard.unknown	Weep	Плакать
quark.emote.yes	quark	UNIVERSAL	assumed	key.keyboard.unknown	key.keyboard.unknown	Yes	Да
quark.keybind.autorun	quark	UNIVERSAL	assumed	key.keyboard.unknown	key.keyboard.unknown	Walk Automatically	Автоматическая ходьба
quark.keybind.back	quark	UNIVERSAL	assumed	key.keyboard.unknown	key.keyboard.unknown	Back	Назад
quark.keybind.camera_mode	quark	UNIVERSAL	assumed	key.keyboard.f12	key.keyboard.f12	Camera Mode	Режим камеры
quark.keybind.change_hotbar	quark	UNIVERSAL	assumed	key.keyboard.unknown	key.keyboard.unknown	Hotbar Swapper	Смена панели быстрого доступа
quark.keybind.lock_rotation	quark	UNIVERSAL	assumed	key.keyboard.unknown	key.keyboard.unknown	Rotation Lock	Блокировка вращения
quark.keybind.narrator_full_readout	quark	UNIVERSAL	assumed	key.keyboard.unknown	key.keyboard.unknown	Narrator Full Readout	Полный вывод экранным диктором
quark.keybind.narrator_readout	quark	UNIVERSAL	assumed	key.keyboard.unknown	key.keyboard.unknown	Narrator Readout	Вывод экранным диктором
quark.keybind.patreon_emote.dab	quark	UNIVERSAL	assumed	key.keyboard.unknown	key.keyboard.unknown	Dab (Patreon)	Дэбить (Patreon)
quark.keybind.patreon_emote.dance	quark	UNIVERSAL	assumed	key.keyboard.unknown	key.keyboard.unknown	Dance (Patreon)	Танцевать (Patreon)
quark.keybind.patreon_emote.exorcist	quark	UNIVERSAL	assumed	key.keyboard.unknown	key.keyboard.unknown	Exorcist (Patreon)	Экзорцист (Patreon)
quark.keybind.patreon_emote.jet	quark	UNIVERSAL	assumed	key.keyboard.unknown	key.keyboard.unknown	Jet (Patreon)	Взлететь (Patreon)
quark.keybind.patreon_emote.tpose	quark	UNIVERSAL	assumed	key.keyboard.unknown	key.keyboard.unknown	T-Pose (Patreon)	Т-позить (Patreon)
quark.keybind.patreon_emote.zombie	quark	UNIVERSAL	assumed	key.keyboard.unknown	key.keyboard.unknown	Zombie (Patreon)	Зомби (Patreon)
quark.keybind.shift_lock	quark	UNIVERSAL	assumed	key.keyboard.unknown	key.keyboard.unknown	Shift Lock	Блокировка Shift
quark.keybind.sort_container	quark	UNIVERSAL	assumed	key.keyboard.unknown	key.keyboard.unknown	Sort Target Inventory	Сортировка контейнера
quark.keybind.sort_player	quark	UNIVERSAL	assumed	key.keyboard.unknown	key.keyboard.unknown	Sort Player Inventory	Сортировка инвентаря
quark.keybind.transfer_extract	quark	UNIVERSAL	assumed	key.keyboard.unknown	key.keyboard.unknown	Extract Items	Извлечь предметы
quark.keybind.transfer_insert	quark	UNIVERSAL	assumed	key.keyboard.unknown	key.keyboard.unknown	Insert Items	Положить предметы
quark.keybind.variant_selector	quark	UNIVERSAL	assumed	key.keyboard.r	key.keyboard.r	Variant Selector	Выбор варианта
simplemagnets.keys.toggle	simplemagnets	UNIVERSAL	assumed	key.keyboard.h	key.keyboard.h	Toggle Magnet	Включить магнит
supplementaries.keybind.quiver	supplementaries	UNIVERSAL	assumed	key.keyboard.v	key.keyboard.v	Quiver	Колчан
tombstone.message.compendium	tombstone	UNIVERSAL	assumed	key.keyboard.unknown	key.keyboard.unknown	Compendium	Компендиум
tombstone.message.config	tombstone	UNIVERSAL	assumed	key.keyboard.unknown	key.keyboard.unknown	Configuration	Конфигурация
tombstone.message.knowledge_of_death	tombstone	UNIVERSAL	assumed	key.keyboard.unknown	key.keyboard.unknown	Knowledge of Death	Знания о смерти
xaeroplus.gui.world_map.start_drawing	xaeroplus	UNIVERSAL	assumed		key.keyboard.unknown	Start Drawing	Начать рисование
xaeroplus.keybind.switch_to_end	xaeroplus	UNIVERSAL	assumed		key.keyboard.unknown	Switch to End	Выбрать карту Энда
xaeroplus.keybind.switch_to_nether	xaeroplus	UNIVERSAL	assumed		key.keyboard.unknown	Switch to Nether	Выбрать карту Незера
xaeroplus.keybind.switch_to_overworld	xaeroplus	UNIVERSAL	assumed		key.keyboard.unknown	Switch to Overworld	Выбрать карту Верхнего мира
xaeroplus.keybind.switch_waypoints_to_end	xaeroplus	UNIVERSAL	assumed		key.keyboard.unknown	Switch Waypoints to End	Переключить Точки в Край
xaeroplus.keybind.switch_waypoints_to_nether	xaeroplus	UNIVERSAL	assumed		key.keyboard.unknown	Switch Waypoints to Nether	Переключить Точки в Нижний мир
xaeroplus.keybind.switch_waypoints_to_overworld	xaeroplus	UNIVERSAL	assumed		key.keyboard.unknown	Switch Waypoints to Overworld	Переключить Точки в Верхний мир
xaeroplus.keybind.world_map_baritone_elytra_here	xaeroplus	UNIVERSAL	assumed		key.keyboard.unknown	Baritone Elytra Here (WorldMap)	Задать Baritone elytra (карта мира)
xaeroplus.keybind.world_map_baritone_goal_here	xaeroplus	UNIVERSAL	assumed		key.keyboard.unknown	Baritone Goal Here (WorldMap)	Задать Baritone goal (карта мира)
xaeroplus.keybind.world_map_baritone_path_here	xaeroplus	UNIVERSAL	assumed		key.keyboard.unknown	Baritone Path Here (WorldMap)	Задать Baritone path (карта мира)
xaeroplus.setting.2b2t_highways_enabled	xaeroplus	UNIVERSAL	assumed		key.keyboard.unknown	Highways	Магистрали 2b2t
xaeroplus.setting.beacons_overlay	xaeroplus	UNIVERSAL	assumed		key.keyboard.unknown	Beacons	Маяки
xaeroplus.setting.lava_columns	xaeroplus	UNIVERSAL	assumed		key.keyboard.unknown	Lava Columns	Колонны лавы
xaeroplus.setting.map_art_grid	xaeroplus	UNIVERSAL	assumed		key.keyboard.unknown	Map Art Grid	Сетка мапартов
xaeroplus.setting.new_chunks_highlighting	xaeroplus	UNIVERSAL	assumed		key.keyboard.unknown	Liquid NewChunks	NewChunks по текущим жидкостям
xaeroplus.setting.old_biomes_enabled	xaeroplus	UNIVERSAL	assumed		key.keyboard.unknown	Old Biomes	Старые биомы 2b2t
xaeroplus.setting.old_chunks_highlighting	xaeroplus	UNIVERSAL	assumed		key.keyboard.unknown	OldChunks	Подсвечивать OldChunks
xaeroplus.setting.palette_new_chunks_highlighting	xaeroplus	UNIVERSAL	assumed		key.keyboard.unknown	Palette NewChunks	Palette NewChunks
xaeroplus.setting.player_spawn_chunks	xaeroplus	UNIVERSAL	assumed		key.keyboard.unknown	Player Spawn Chunks	Спавн-чанки вокруг игрока
xaeroplus.setting.portal_skip_detection	xaeroplus	UNIVERSAL	assumed		key.keyboard.unknown	PortalSkips	Обнаружение портал-скипов
xaeroplus.setting.portals	xaeroplus	UNIVERSAL	assumed		key.keyboard.unknown	Portals	Подсвечивать порталы
xaeroplus.setting.region_grid	xaeroplus	UNIVERSAL	assumed		key.keyboard.unknown	Regions	Регионы
xaeroplus.setting.show_render_distance	xaeroplus	UNIVERSAL	assumed		key.keyboard.unknown	Show Render Distance	Показать дистанцию прорисовки
xaeroplus.setting.spawn_chunks	xaeroplus	UNIVERSAL	assumed		key.keyboard.unknown	Spawn Chunks	Спавн-чанки
xaeroplus.setting.world_tools	xaeroplus	UNIVERSAL	assumed		key.keyboard.unknown	WorldTools	Синхронизация с WorldTools
